mode,bits_per_value,arc_easy,arc_challenge,winogrande,hellaswag,boolq,average,performance_retained_percent
full,16.0,0.36574074074074076,0.2295221843003413,0.5035516969218626,0.27504481179047996,0.5883792048929664,0.3924477277292782,100.0
int4,4.0,0.3581649831649832,0.22866894197952217,0.4988161010260458,0.27912766381198967,0.5923547400611621,0.3914264860087406,99.7397763706146
random_bf16,4.1875,0.3560606060606061,0.22610921501706485,0.4972375690607735,0.2787293367855009,0.5902140672782875,0.3896701588404466,99.29224487936196
selected_bf16,4.1875,0.35185185185185186,0.2354948805460751,0.5027624309392266,0.277733519219279,0.600611620795107,0.39369086067030795,100.31676395432905
