mode,mean_abs_error,rmse,relative_rmse,max_abs_error,selected_mean_abs_error,non_selected_mean_abs_error,int4_payload_saturation_low_rate,int4_payload_saturation_high_rate,total_saturation_rate,module_count
int4,0.0035675315205783895,0.06330183873923784,0.16136914681830952,284.5,0.0,0.0011737839690795226,0.004525775201424646,0.007925889901040742,0.012451665102465388,12
random_bf16,0.0035129743919242173,0.06329714288969808,0.16030767111582714,284.5,0.0,0.0011740034354564461,0.0045258350395063944,0.007924566831206903,0.012450401870713296,12
selected_bf16,0.0034034943722266084,0.00556521281055872,0.12959743480272098,1.66015625,0.0,0.0011499438114697114,0.004531807366826494,0.007926741564006079,0.012458548930832574,12
